priority,race_id,video_file,duration_sec,challenged,lead_change_late,second_closing,shape_final,eye_label,review,shape_prior,prior_agreement,dist_2013_unknown,closeness_2013,trap_1st,trap_2nd,trap_3rd,n_runners,missing_traps,cashout_pause_sec,video_ok,shows_result,notes_2013,notes_new
2,7,Races/7.mp4,27.46,,,,FALLBACK,NW,,FALLBACK,3/3,,unknown,6,2,3,6,,,,yes,no margin recorded in 2013 sheet,Rewatched: super close finish -> NW (close). Agrees with 2013 (all 3 raters coded it close/fallback).
2,9,Races/9.mp4,23.56,,,,FALLBACK,NW,,FALLBACK,3/3,0.10,grey,4,1,2,6,,,,yes,"lead change midway, not at the line - check",Trajectory FALLBACK per Yin (near-miss perspective). Used in analyze_pilot.R fig5.
2,15,Races/15.mp4,22.49,,,,FALLBACK,NW,,FALLBACK,3/3,0.05,narrow,1,3,4,6,,,,yes,all 3 raters agree,Trajectory FALLBACK per Yin (near-miss perspective). Used in analyze_pilot.R fig5.
2,27,Races/27.mp4,23.06,y,y,n,FALLBACK,NW,,FALLBACK,2/3,0.23,grey,6,2,1,,,,,no-board-finish-visible,,Omar 2026-07-25: runner-up trap 2 was ahead and was caught by the winner trap 6 -> FALL-BACK. Agrees with Kate and Yin. (Omar's first phrasing named the dogs the other way round and was clarified on the follow-up question.)
2,32,Races/32.mp4,19.65,,,,CATCHUP,NW,,CATCHUP,3/3,0.14,grey,2,6,4,,,,,no-board-finish-visible,all 3 raters agree,"Omar 2026-07-25: clearly a catch-up near miss. Finish order 2, 6, 4. AGREES with 2013 on CATCHUP; 2013 recorded 3rd as trap 3, Omar has trap 4 - 3rd place needs re-check. No result board but finish line visible, so usable. | 3rd PLACE 2026-07-25 (Omar): trap 4 or trap 3, cannot be separated by eye. It does not matter: this clip has no result board, so the participant cannot check what we display. Trap 6 in 2nd is entirely believable, which is what the near-miss manipulation needs."
2,36,Races/36.mp4,20.42,y,y,n,FALLBACK,NW,,FALLBACK,2/3,0.16,grey,1,6,2,,,,,no-board-finish-visible,,"Omar 2026-07-25 (revised after close viewing): traps 6 and 5 led until the last straight and were caught by trap 1 THERE, not near the line - so the pass is early and the race is somewhat ambiguous. But the runner-up (trap 6) drifts a little behind at the end, so a participant backing trap 6 experiences a near miss of the FALL-BACK kind. Supersedes Omar's first-pass catch-up call. AGREES with Yin (overtake finish) and with 2013 FALLBACK 2/3."
2,38,Races/38.mp4,21.42,,,,STABLE,NW,,FALLBACK,2/3,0.07,narrow,6,1,2,,,,,no-board-finish-visible,,"Omar 2026-07-25: close (NW). Trap 6 ahead constantly by a small margin -> STABLE, not fall-back. No result board at the end but the FINISH LINE IS VISIBLE, so it is usable as a stimulus. Disagrees with 2013 (FALLBACK 2/3)."
3,1,Races/1.mp4,24.02,,,,CLEAR,CW,,CLEAR,3/3,0.28,clear,1,4,2,6,,,,yes,,Clear race per Omar's eye-coding pass; supplies CW and CL. No trajectory applies.
3,6,Races/6.mp4,21.96,,,,CLEAR,CW,,CLEAR,3/3,0.42,clear,6,3,5,6,,,,yes,,Clear race per Omar's eye-coding pass; supplies CW and CL. No trajectory applies.
3,8,Races/8.mp4,23.39,,,,CLEAR,CW,,CLEAR,3/3,0.23,grey,6,1,3,6,,,,yes,,Clear race per Omar's eye-coding pass; supplies CW and CL. No trajectory applies.
3,10,Races/10.mp4,24.59,,,,CLEAR,CW,,CLEAR,3/3,0.24,grey,1,3,4,5,6,,,yes,,Clear race per Omar's eye-coding pass; supplies CW and CL. No trajectory applies.
3,11,Races/11.mp4,26.63,,,,CLEAR,CW,,CLEAR,3/3,0.26,grey,4,1,2,6,,,,yes,,Clear race per Omar's eye-coding pass; supplies CW and CL. No trajectory applies.
3,12,Races/12.mp4,22.56,,,,CLEAR,CW,,CLEAR,3/3,0.35,clear,6,3,5,6,,,,yes,,Clear race per Omar's eye-coding pass; supplies CW and CL. No trajectory applies.
3,13,Races/13.mp4,22.96,,,,CLEAR,CW,,CLEAR,3/3,0.09,grey,2,1,3,6,,,,yes,,Clear race per Omar's eye-coding pass; supplies CW and CL. No trajectory applies.
3,17,Races/17.mp4,24.59,,,,CLEAR,CW,,CLEAR,3/3,0.12,grey,5,2,6,6,,,,yes,,Clear race per Omar's eye-coding pass; supplies CW and CL. No trajectory applies.
3,19,Races/19.mp4,23.16,,,,CLEAR,CW,,CLEAR,3/3,0.19,grey,1,3,4,5,6,,,yes,,Clear race per Omar's eye-coding pass; supplies CW and CL. No trajectory applies.
3,23,Races/23.mp4,22.29,,,,CLEAR,CW,,CLEAR,3/3,0.16,grey,3,5,1,6,,,,yes,,Clear race per Omar's eye-coding pass; supplies CW and CL. No trajectory applies.
3,28,Races/28.mp4,20.89,n,n,n,CLEAR,CW,,CLEAR,3/3,0.70,clear,1,2,3,,,,,no-board-finish-visible,,Omar 2026-07-25: clear win. Agrees with all three 2013 raters. Widest margin in the archive (0.70s).
3,29,Races/29.mp4,22.15,n,n,n,CLEAR,CW,,CLEAR,3/3,0.40,clear,6,1,2,,,,,no-board-finish-visible,,"Omar 2026-07-25: clear win. Agrees with all three 2013 raters (""the clearest win there ever was"")."
3,30,Races/30.mp4,19.69,n,n,n,CLEAR,CW,,CLEAR,3/3,0.14,grey,6,4,2,,,,,no-board-finish-visible,,Omar 2026-07-25: clear win. Agrees with all three 2013 raters despite the 0.14s margin - another case where the recorded gap does not track the visual impression.
1,2,Races/2.mp4,27.49,n,n,n,STABLE,NW,,STABLE,3/3,0.05,narrow,3,2,1,5,4,,y,yes,,"Clear win by 3. Order 3,2,1. 5 runners, trap 4 vacant. 2013 raters said narrow/stable; by the clock (0.05s) this is narrow, so it needs a dynamics label not a closeness one. | 2026-07-25 shape_final corrected CLEAR -> STABLE. eye_label is NW and the task runs this as a close race; the 'clear win' phrasing above describes the DYNAMICS (winner never threatened) not the closeness at the line, which is exactly the definition of stable. Trajectory per Yin."
1,3,Races/3.mp4,22.62,y,n,y,CATCHUP,NW,,DISPUTED,disputed,0.01,narrow,3,4,5,6,,,y,yes,Luke stable / Kate complex / Yin ambiguous,"Full order seen: 3,4,5,2,6,1. 3 led throughout by a modest margin; 4 closing hard late and looked like getting there but did not; 5 also closing behind 4. CONFIRMED CATCH-UP by Omar 2026-07-25, stated explicitly from the NM perspective: winner 3 was being caught by 4 and 5 but held on, so the runner-up (trap 4) was the one closing. Yin coded this race ambiguous."
1,14,Races/14.mp4,22.19,n,n,n,STABLE,NW,,STABLE,2/3,0.07,narrow,4,6,5,6,,,y,yes,,"Clear win by 4. Order 4,6,5. 2013 coded stable/near (Kate said clear). | 2026-07-25 shape_final corrected CLEAR -> STABLE. eye_label is NW and the task runs this as a close race; the 'clear win' phrasing above describes the DYNAMICS (winner never threatened) not the closeness at the line, which is exactly the definition of stable. Trajectory per Yin."
1,16,Races/16.mp4,24.19,y,n,y,CATCHUP,NW,,STABLE,2/3,0.42,clear,6,3,1,5,2,,y,yes,Kate coded CATCHUP; margin wide - possible catch-up,"6 led, 3 within range and accelerating in the final section - looked like it would get there, then speeds equalised, no pass. Trap 2 vacant, CONFIRMED. NB 2013 margin 0.42 looks too wide vs this description. CONFIRMED CATCH-UP by Omar 2026-07-25: '6 on the lead, 3 almost caught it, but lost' - runner-up trap 3 was closing. Kate also coded CATCHUP; Yin coded stable. 2 of 3 for catch-up."
1,18,Races/18.mp4,22.66,n,n,n,CLEAR,CW,,STABLE,2/3,0.26,grey,4,6,5,6,,,y,yes,,"Clear win by 4. Order 4,6,5 - same top-3 as race 14 but confirmed different video (final time differs)."
1,20,Races/20.mp4,21.35,n,n,n,STABLE,NW,,DISPUTED,disputed,0.14,grey,1,4,5,6,,,y,yes,Luke 'between clear and narrow',"Eye: NW but borderline - field piles up behind winner, not far back, distance maintained through the run-in, winner never challenged. | 2026-07-25 shape_final corrected CLEAR -> STABLE. eye_label is NW and the task runs this as a close race; the 'clear win' phrasing above describes the DYNAMICS (winner never threatened) not the closeness at the line, which is exactly the definition of stable. Trajectory per Yin."
1,21,Races/21.mp4,21.76,n,n,n,STABLE,NW,,STABLE,3/3,0.05,narrow,3,1,4,6,,,y,yes,,"Clear win by 3, verified on video: 3 several lengths clear at the line; 1 and 4 locked together for 2nd. Scoreboard 3-1-4, race time 18.89. | 2026-07-25 shape_final corrected CLEAR -> STABLE. eye_label is NW and the task runs this as a close race; the 'clear win' phrasing above describes the DYNAMICS (winner never threatened) not the closeness at the line, which is exactly the definition of stable. Trajectory per Yin."
1,22,Races/22.mp4,21.65,,,,STABLE,NW,,STABLE,2/3,0.58,clear,3,5,4,5,6,,y,yes,margin wide - may not be near at all,"5 runners, trap 6 (striped) vacant. Top3 3,5,4. (Earlier fast pass logged as 6 by mistake.)"
